Secteur,Taille_Entreprise,Anciennete_Annees,Ratio_Liquidite_Generale,Ratio_Liquidite_Reduite,Ratio_Endettement,Ratio_Capacite_Remboursement,Taux_Endettement_Net,ROE,ROA,Marge_Nette,Marge_Brute,Chiffre_Affaires_Log,Croissance_CA,Ratio_Fonds_Propres,Ratio_Tresorerie_Nette,Delai_Paiement_Clients_Jours,Delai_Paiement_Fournisseurs_Jours,Ratio_Couverture_Interets,Score_Altman_Z,Nb_Incidents_Paiement_12M,Nb_Credits_En_Cours,Defaut_Paiement
Industrie,PME,9,3.27,0.38,1.42,14.64,0.41,0.383,0.218,-0.198,0.521,19.64,-0.353,0.54,0.49,39,55,8.03,3.93,0,5,1
BTP,Grande Entreprise,19,0.64,1.22,1.48,3.87,0.05,-0.162,0.015,0.097,0.751,19.31,-0.204,0.24,0.85,55,27,13.17,1.47,0,5,1
Commerce,TPE,47,2.75,0.58,1.69,13.28,0.63,-0.083,0.121,-0.14,0.274,17.62,0.182,0.37,0.68,17,47,17.66,2.68,0,6,1
Tech,Grande Entreprise,14,1.61,0.62,1.95,5.26,1.34,-0.071,0.123,0.253,0.319,15.2,0.386,0.09,0.67,91,29,5.46,2.53,5,3,1
Transport,PME,38,2.4,0.67,1.95,2.14,1.47,-0.083,0.014,-0.034,0.588,12.04,-0.231,0.49,0.89,109,77,1.07,3.76,0,2,1
Tech,TPE,36,1.13,1.09,0.22,13.12,0.96,0.384,0.257,0.066,0.508,15.45,-0.291,0.62,0.98,27,29,10.67,2.31,2,0,0
Services,PME,40,0.81,0.32,1.66,9.72,0.24,-0.274,0.076,-0.148,0.184,17.65,0.349,0.36,0.37,119,45,9.69,0.65,3,2,1
BTP,ETI,17,0.81,1.11,1.33,2.89,1.36,-0.239,0.059,-0.028,0.332,18.96,-0.095,0.37,-0.34,32,42,6.48,1.73,3,2,1
Agriculture,TPE,30,0.53,1.38,1.33,6.73,0.77,-0.081,0.299,0.269,0.401,17.9,0.551,0.12,0.19,51,24,17.54,2.6,0,3,1
Industrie,PME,9,0.89,1.31,0.34,4.67,0.23,-0.14,0.072,-0.109,0.365,11.95,0.314,0.2,0.68,57,71,15.11,4.89,0,0,0
Agriculture,PME,33,2.43,1.08,1.34,11.18,1.38,-0.115,-0.07,0.188,0.184,16.0,-0.073,0.17,-0.46,48,85,17.23,4.47,0,1,1
BTP,PME,25,3.12,2.13,1.97,7.07,1.14,0.338,0.081,0.35,0.743,13.32,-0.11,0.41,-0.41,95,47,3.66,1.32,0,5,1
BTP,TPE,14,2.91,0.53,1.83,14.84,1.1,0.151,0.216,0.208,0.622,10.09,0.124,0.45,-0.4,69,21,14.0,3.75,3,4,0
BTP,ETI,11,2.49,1.36,0.93,1.29,1.06,-0.295,0.2,0.287,0.411,12.0,-0.321,0.76,0.6,66,19,19.51,4.72,0,2,0
Agriculture,Grande Entreprise,35,0.65,0.34,0.18,5.65,0.3,0.043,0.205,-0.135,0.56,11.13,-0.282,0.1,0.25,99,71,12.43,0.54,1,3,1
Transport,Grande Entreprise,41,1.23,0.36,0.79,7.49,0.32,0.026,0.169,-0.05,0.723,18.43,-0.224,0.5,0.05,50,86,3.84,3.74,1,3,1
BTP,ETI,14,1.29,1.52,1.67,7.8,1.03,-0.209,-0.036,0.337,0.152,12.59,0.375,0.44,-0.34,68,54,19.92,2.57,3,4,1
Tech,TPE,30,1.1,1.5,1.43,5.08,0.33,0.241,0.238,0.229,0.238,12.85,0.114,0.44,0.6,73,42,10.8,3.56,3,4,1
Agriculture,ETI,41,1.95,2.22,0.97,11.07,0.66,0.262,0.252,0.184,0.457,19.6,-0.389,0.7,-0.02,66,50,16.88,3.23,0,6,0
BTP,TPE,4,2.01,1.48,0.2,13.18,1.17,0.277,-0.063,0.198,0.649,13.79,0.274,0.2,-0.1,118,70,3.41,4.93,3,7,1
Tech,TPE,4,1.44,2.41,0.91,14.11,1.18,0.283,-0.091,0.049,0.077,10.1,0.024,0.08,0.48,33,61,13.49,1.8,1,0,0
Transport,PME,28,1.43,0.31,0.99,12.17,0.68,-0.3,0.289,-0.173,0.788,12.84,0.111,0.55,0.34,26,85,18.3,4.04,0,2,0
Services,PME,8,2.95,0.43,1.86,12.83,1.19,0.463,0.241,0.271,0.391,11.19,-0.186,0.31,0.04,106,54,10.87,1.56,3,2,1
Transport,ETI,2,2.83,0.3,1.32,8.48,1.26,0.351,0.252,0.207,0.319,11.03,0.152,0.06,0.46,25,73,6.13,2.46,1,4,1
BTP,PME,41,1.28,0.63,0.69,12.48,0.98,0.423,0.249,0.084,0.27,10.77,0.579,0.24,-0.09,62,57,2.98,4.89,3,7,0
Agriculture,PME,46,3.22,1.44,1.1,4.9,0.34,-0.287,0.094,0.34,0.181,15.93,-0.327,0.28,0.69,115,80,6.27,3.95,0,5,0
Commerce,TPE,22,3.35,1.68,0.23,6.28,0.41,0.447,0.141,0.002,0.644,11.89,-0.116,0.51,-0.16,106,23,7.42,1.92,0,6,0
BTP,Grande Entreprise,41,1.35,0.3,1.95,5.1,0.47,0.348,0.095,-0.023,0.767,13.61,-0.157,0.18,-0.26,113,20,14.34,3.29,5,1,1
Commerce,PME,16,1.43,2.38,0.78,7.28,0.18,0.37,-0.127,0.324,0.36,18.62,-0.151,0.36,0.67,93,79,3.98,0.72,0,2,1
Tech,PME,29,1.92,2.14,1.01,4.64,0.41,-0.225,0.185,0.278,0.764,14.24,-0.021,0.41,0.56,30,17,2.57,1.7,0,3,1
Services,TPE,49,3.31,0.88,0.78,14.44,0.31,0.291,0.077,0.109,0.668,19.16,0.418,0.39,-0.23,85,88,8.05,3.73,3,5,0
Industrie,ETI,48,3.1,0.38,1.4,5.04,0.68,0.468,0.141,-0.122,0.411,14.98,0.513,0.78,-0.33,61,51,9.44,3.07,0,4,0
Transport,PME,30,0.63,0.59,1.36,1.92,1.36,0.243,0.076,-0.071,0.556,13.99,-0.198,0.08,0.76,81,47,12.75,2.61,0,2,1
Services,TPE,12,1.56,0.49,1.46,8.14,0.16,0.156,0.071,0.194,0.376,17.5,0.143,0.76,0.66,45,23,14.3,3.61,0,0,0
BTP,TPE,35,2.07,0.48,0.61,1.33,1.08,0.457,-0.073,0.031,0.469,10.73,0.237,0.49,-0.01,90,67,17.84,2.29,5,4,0
Commerce,PME,11,1.91,1.39,0.7,2.1,1.03,0.054,-0.025,0.302,0.094,10.89,0.122,0.65,0.49,22,65,6.13,0.62,0,3,0
Transport,PME,46,0.92,0.77,0.34,3.68,0.14,0.179,-0.079,0.37,0.572,16.52,0.034,0.37,-0.31,103,85,10.81,2.48,0,0,0
Commerce,TPE,21,3.05,1.02,1.35,7.23,1.38,0.081,-0.062,0.283,0.09,14.87,-0.208,0.39,0.26,75,40,7.64,4.56,1,6,1
Agriculture,Grande Entreprise,21,2.47,2.48,0.18,6.78,0.85,0.446,0.288,0.027,0.663,17.9,0.088,0.71,-0.47,58,30,0.53,4.35,2,4,0
Commerce,TPE,5,2.98,1.77,1.24,12.1,0.55,-0.239,-0.081,0.273,0.669,19.16,0.001,0.72,0.09,64,54,11.8,2.34,1,4,1
Agriculture,PME,48,3.05,2.38,1.75,11.22,1.13,0.101,-0.029,0.011,0.228,13.88,0.396,0.23,-0.39,49,65,16.41,0.6,5,2,1
Tech,Grande Entreprise,20,2.69,0.53,1.79,6.68,0.39,0.25,0.116,-0.1,0.293,15.96,0.364,0.2,0.21,90,53,1.21,3.36,3,0,1
Transport,PME,37,1.71,1.08,0.95,5.34,1.04,0.334,0.125,-0.18,0.411,15.01,-0.266,0.42,0.13,75,69,0.57,3.84,1,7,0
Transport,PME,3,2.25,1.48,0.97,5.09,0.06,0.166,-0.081,0.031,0.497,19.82,-0.311,0.73,0.17,99,50,14.69,1.82,0,6,0
Industrie,PME,44,0.81,0.38,0.25,11.72,1.26,0.427,0.207,0.342,0.266,18.31,0.508,0.29,-0.43,104,79,13.84,2.64,0,7,0
BTP,TPE,33,2.46,0.21,1.37,1.26,0.67,0.454,0.203,-0.057,0.494,19.12,0.136,0.54,0.04,69,59,8.41,4.96,0,4,0
Agriculture,Grande Entreprise,9,0.87,1.74,1.66,0.69,0.96,-0.249,-0.043,-0.076,0.273,12.54,0.458,0.58,0.63,80,23,13.4,3.09,1,5,1
Industrie,PME,9,2.52,1.68,0.56,12.04,0.33,0.022,-0.02,0.382,0.092,17.73,-0.342,0.63,0.05,28,51,19.09,2.08,0,7,0
Commerce,ETI,4,1.03,1.14,0.9,7.42,1.02,-0.281,0.272,-0.185,0.052,12.65,0.127,0.47,0.57,18,15,5.33,3.32,0,3,0
Commerce,TPE,35,0.68,1.33,1.69,2.4,1.16,-0.036,0.222,0.271,0.126,12.09,0.139,0.35,0.05,31,80,5.3,1.31,0,0,1
Industrie,TPE,17,0.83,1.16,1.77,3.92,0.71,0.129,0.164,-0.007,0.644,19.44,0.461,0.78,0.13,83,77,4.13,1.4,0,5,1
Transport,TPE,34,0.31,0.26,0.56,14.02,0.93,0.429,-0.113,-0.178,0.771,10.19,-0.302,0.51,0.35,38,57,14.62,4.66,5,2,1
Commerce,PME,24,2.6,0.97,1.15,12.96,0.68,0.377,0.038,0.351,0.37,19.65,-0.16,0.6,0.93,63,42,7.39,1.58,0,1,0
Tech,PME,32,2.64,0.61,0.47,10.79,1.34,-0.198,0.102,-0.116,0.435,11.49,0.007,0.31,-0.34,69,45,19.78,1.9,1,6,0
Tech,ETI,1,1.95,0.43,0.29,7.49,0.75,-0.226,-0.066,0.131,0.16,18.19,0.466,0.55,-0.45,85,83,14.44,2.95,2,4,1
Industrie,PME,8,0.82,2.4,1.83,8.04,1.26,0.171,0.052,-0.036,0.463,12.76,0.539,0.24,0.41,37,22,7.66,4.55,1,1,0
Agriculture,Grande Entreprise,45,0.57,1.58,1.66,14.64,1.2,0.126,0.12,-0.161,0.158,13.51,0.593,0.23,0.92,95,48,3.41,4.02,1,4,1
Agriculture,TPE,23,0.36,1.88,1.54,14.5,0.62,-0.087,-0.003,-0.17,0.508,12.17,0.559,0.59,0.98,26,63,12.04,0.7,0,7,1
Industrie,ETI,47,0.83,0.93,0.19,3.62,0.35,0.42,0.201,-0.131,0.75,15.86,-0.394,0.44,0.23,25,72,6.25,3.62,1,5,0
Agriculture,ETI,40,3.15,1.1,1.7,12.26,0.61,0.442,0.228,-0.157,0.197,13.48,-0.352,0.56,0.2,89,89,18.16,2.77,0,2,1
Transport,ETI,12,1.07,0.74,0.93,3.36,1.24,0.022,-0.004,0.256,0.623,16.57,-0.252,0.25,0.47,112,61,9.11,2.64,3,7,0
Transport,ETI,12,1.43,0.42,0.75,3.6,0.34,0.412,0.227,0.091,0.068,10.16,-0.051,0.5,0.33,115,39,6.21,3.61,5,2,0
Agriculture,ETI,46,0.64,0.61,1.14,10.3,0.79,0.007,-0.103,0.006,0.332,10.64,0.43,0.38,0.45,43,17,11.98,1.38,0,7,1
Tech,PME,47,1.01,2.03,0.27,6.37,1.21,0.289,0.227,0.051,0.133,11.0,0.493,0.5,0.81,76,59,3.17,4.92,1,2,0
Agriculture,TPE,15,1.96,1.76,1.54,14.01,0.53,0.081,-0.081,0.357,0.314,14.19,-0.213,0.27,0.62,67,66,11.45,3.4,2,2,0
Transport,TPE,41,2.24,1.46,1.21,1.79,0.96,-0.202,-0.113,0.346,0.18,18.15,0.22,0.59,0.25,62,48,1.59,2.15,1,0,0
Services,Grande Entreprise,19,1.09,1.29,0.45,7.92,0.37,0.442,0.139,0.229,0.33,18.88,0.517,0.65,0.19,114,83,12.33,3.2,0,7,0
BTP,PME,26,0.48,2.32,0.46,13.82,0.16,0.063,0.062,0.331,0.363,12.45,0.064,0.24,0.46,105,22,10.84,1.47,0,0,1
Commerce,ETI,29,1.55,0.37,0.45,13.61,1.19,0.288,0.259,-0.008,0.275,15.74,-0.296,0.28,0.18,100,41,10.65,3.35,0,4,0
Services,PME,22,1.05,0.85,0.21,2.77,0.15,-0.006,0.013,0.029,0.542,17.68,0.058,0.55,0.19,80,77,13.84,0.63,2,0,0
Agriculture,TPE,40,1.0,1.0,1.22,5.82,0.41,-0.285,-0.021,0.168,0.739,12.89,-0.024,0.57,-0.48,114,39,1.37,2.04,0,4,1
Tech,TPE,21,3.37,2.0,1.7,9.48,1.28,-0.22,0.075,0.174,0.35,14.09,0.178,0.58,-0.24,62,72,9.46,3.86,5,6,0
Industrie,PME,38,2.27,2.48,0.13,2.81,0.52,0.097,0.055,0.089,0.194,15.24,0.039,0.56,0.23,108,62,9.16,4.14,1,0,0
Agriculture,PME,20,2.08,0.75,0.19,14.54,1.46,0.252,0.005,0.04,0.253,11.35,-0.383,0.34,0.73,73,15,9.47,1.64,3,0,0
Tech,TPE,29,1.63,2.21,1.19,13.76,1.47,-0.032,0.162,0.392,0.691,10.26,0.594,0.35,-0.08,85,22,19.61,2.93,0,0,0
BTP,PME,4,1.67,2.11,1.66,2.92,0.4,0.256,0.192,0.293,0.479,11.53,0.144,0.24,0.28,71,35,3.22,2.88,0,6,0
Agriculture,TPE,7,2.03,0.72,0.72,2.26,0.06,0.259,0.234,0.061,0.391,16.27,0.074,0.17,0.02,90,43,13.96,2.4,1,3,0
Transport,PME,28,2.53,1.12,0.76,1.74,1.06,0.263,0.288,0.236,0.162,10.74,0.555,0.57,-0.34,17,44,8.34,1.53,3,6,0
Industrie,TPE,28,2.55,1.14,1.23,13.69,0.68,0.094,-0.03,-0.038,0.387,11.9,-0.244,0.12,0.94,95,17,10.48,3.66,0,2,1
Tech,ETI,4,0.85,2.45,0.62,3.31,0.15,0.432,0.172,-0.14,0.259,13.38,-0.211,0.75,0.78,119,21,15.37,1.64,0,6,0
Tech,PME,22,1.9,0.62,0.15,6.54,1.06,0.091,0.027,0.011,0.757,10.78,0.408,0.67,-0.38,46,25,3.57,4.6,1,3,0
Tech,PME,12,1.62,2.04,1.5,7.01,0.05,0.06,0.155,0.042,0.713,11.92,-0.139,0.69,0.58,22,46,15.39,2.88,0,0,0
BTP,TPE,45,3.09,0.97,1.29,9.19,1.31,-0.14,0.064,-0.19,0.113,19.11,0.399,0.73,0.02,101,73,1.87,4.42,0,0,1
Agriculture,TPE,3,2.32,1.88,1.2,1.54,0.21,-0.054,0.297,0.289,0.437,10.19,-0.128,0.36,0.99,116,26,9.92,1.81,0,3,0
BTP,PME,22,2.0,1.17,1.51,3.79,0.19,-0.266,0.178,0.016,0.219,16.53,-0.367,0.69,-0.05,44,52,14.97,4.13,0,7,0
Commerce,PME,44,0.67,1.53,1.38,14.01,0.26,0.207,0.279,0.148,0.358,13.84,0.117,0.17,-0.14,29,38,4.25,1.01,1,5,1
Commerce,PME,2,2.24,2.12,0.49,13.67,1.44,-0.101,0.226,-0.156,0.708,16.73,-0.203,0.07,0.35,88,79,15.53,3.95,0,4,0
Agriculture,TPE,24,0.68,2.05,0.77,11.83,1.04,-0.057,0.256,-0.095,0.446,15.89,0.358,0.64,0.75,69,32,3.75,2.24,0,2,1
Transport,PME,34,1.38,2.19,0.34,0.78,1.2,0.317,0.216,0.334,0.301,12.23,0.241,0.11,-0.21,52,60,16.09,2.61,1,6,0
BTP,ETI,27,0.76,0.34,0.35,5.24,0.6,-0.038,0.057,0.165,0.206,18.47,0.524,0.79,0.56,29,70,9.64,1.25,0,4,0
Industrie,ETI,41,2.51,1.79,1.38,9.61,0.5,-0.106,-0.037,0.37,0.65,14.92,0.383,0.56,-0.41,44,77,13.85,0.58,2,7,1
Tech,TPE,1,0.96,0.52,1.73,4.49,0.35,-0.165,0.017,0.399,0.518,18.23,-0.219,0.62,0.88,60,21,18.39,3.5,0,5,0
Tech,PME,8,1.55,1.16,1.93,13.69,0.72,0.32,-0.141,0.023,0.401,14.06,0.4,0.23,-0.38,78,80,8.46,3.14,5,2,1
Agriculture,TPE,23,3.17,1.46,1.29,9.69,0.83,-0.196,0.086,-0.021,0.213,19.85,0.242,0.56,0.87,40,54,5.04,3.3,2,1,1
Transport,TPE,38,0.95,1.13,0.45,1.54,0.95,0.063,0.077,0.315,0.301,17.7,0.269,0.08,0.24,92,68,17.41,1.65,1,2,0
Commerce,Grande Entreprise,6,1.92,1.4,0.3,13.68,0.39,0.106,0.086,0.399,0.77,19.66,0.432,0.68,0.17,81,45,3.65,1.58,5,6,0
Commerce,TPE,22,1.64,2.49,1.64,14.39,1.42,0.25,0.288,0.178,0.44,15.14,0.174,0.18,0.96,50,66,12.81,4.24,2,4,1
Tech,PME,25,0.36,0.51,1.2,1.63,0.25,0.207,0.26,0.277,0.351,14.74,0.066,0.57,0.99,104,45,18.5,3.93,0,2,0
Agriculture,PME,18,2.84,1.75,1.27,8.22,1.45,0.349,-0.077,0.269,0.441,17.55,0.237,0.22,0.48,92,48,13.65,2.02,2,1,1
BTP,ETI,17,0.52,1.11,1.58,4.9,0.02,-0.264,0.016,0.013,0.634,18.8,-0.102,0.1,-0.31,45,21,4.32,3.37,1,1,1
Commerce,PME,12,1.82,0.51,1.44,6.2,0.72,-0.063,0.041,0.145,0.305,19.64,-0.217,0.41,0.26,92,30,3.47,4.23,0,0,0
BTP,TPE,6,2.09,0.57,1.69,3.1,0.5,-0.076,0.012,0.3,0.184,13.25,0.217,0.18,0.29,54,36,5.42,4.5,1,6,1
Transport,PME,26,2.31,2.38,0.21,8.88,0.67,-0.183,0.209,0.213,0.489,17.99,-0.166,0.6,0.27,88,67,8.13,0.53,0,1,0
Commerce,PME,27,2.5,2.22,1.52,14.39,0.86,-0.069,0.086,-0.187,0.549,12.11,-0.32,0.23,0.35,87,31,3.6,4.16,0,3,1
Commerce,TPE,8,1.11,2.29,1.72,7.79,0.65,-0.052,0.107,0.002,0.585,15.46,-0.399,0.31,-0.47,60,18,16.06,2.08,0,4,1
Services,PME,19,0.33,2.48,0.64,1.7,0.62,0.118,0.234,-0.113,0.711,11.8,0.208,0.48,0.57,118,75,7.46,3.73,1,3,1
Commerce,TPE,42,2.62,0.68,1.32,9.49,1.1,0.231,0.213,-0.06,0.328,13.47,-0.038,0.26,0.57,56,66,18.75,2.17,0,5,0
Industrie,TPE,1,2.01,1.02,0.7,5.43,1.03,0.005,-0.091,0.343,0.107,19.31,0.352,0.33,-0.33,32,49,16.93,3.23,0,3,0
Agriculture,PME,29,2.98,1.74,1.92,12.91,1.25,0.276,0.171,-0.178,0.769,11.46,-0.025,0.66,0.36,114,58,18.22,3.41,0,4,0
Agriculture,TPE,45,2.93,1.31,0.16,6.8,0.37,-0.031,0.046,-0.068,0.376,16.32,0.086,0.18,0.35,50,29,6.24,2.32,1,7,0
BTP,PME,49,3.0,1.16,1.2,3.3,0.91,-0.068,-0.017,-0.014,0.517,15.93,0.007,0.11,0.52,90,75,11.69,2.81,0,5,0
Transport,PME,35,1.85,1.02,0.42,3.27,0.88,0.133,-0.127,0.17,0.55,11.21,0.251,0.3,-0.37,64,58,6.77,3.77,3,3,0
Commerce,ETI,40,1.37,1.57,1.45,11.65,0.55,-0.281,0.069,0.12,0.46,13.26,-0.044,0.37,0.44,75,35,5.51,2.64,1,7,1
Industrie,TPE,14,2.83,1.52,0.43,4.35,0.73,-0.236,0.01,-0.069,0.204,15.63,0.564,0.46,-0.08,54,61,12.34,0.56,0,3,0
BTP,TPE,35,1.74,0.57,0.55,11.62,0.47,0.034,-0.037,-0.101,0.616,11.87,0.536,0.33,0.26,17,89,16.45,0.56,0,6,1
Services,TPE,48,0.89,1.29,1.04,3.49,0.21,0.454,0.163,-0.058,0.653,18.01,0.448,0.64,0.66,96,63,2.33,3.48,0,5,0
BTP,PME,45,3.04,1.47,1.84,5.16,0.32,0.277,0.196,0.102,0.465,19.72,0.52,0.08,0.56,21,67,5.88,4.31,0,3,0
BTP,ETI,20,3.12,1.51,0.5,7.25,0.16,-0.229,-0.04,-0.037,0.416,12.15,0.049,0.37,-0.32,45,41,4.5,4.03,0,1,0
Commerce,TPE,49,1.79,0.68,0.37,14.18,1.02,0.377,-0.128,0.369,0.135,11.87,0.136,0.34,0.39,79,45,16.07,1.9,0,7,0
Services,Grande Entreprise,13,0.54,1.91,1.54,14.01,0.99,0.286,0.232,0.078,0.113,14.55,0.342,0.54,0.95,109,58,18.7,2.62,0,4,1
BTP,TPE,38,1.54,0.26,1.05,3.5,1.43,0.189,-0.146,-0.165,0.305,17.48,0.296,0.77,-0.26,78,46,2.06,1.55,5,4,1
Industrie,PME,49,2.87,1.02,1.83,5.69,1.09,0.356,0.272,0.238,0.283,12.82,0.491,0.43,0.78,91,44,7.89,4.95,0,4,0
Industrie,ETI,46,3.19,1.99,0.38,2.67,0.08,0.023,0.132,-0.003,0.765,10.2,0.316,0.79,0.55,107,32,18.33,1.67,1,3,0
Agriculture,ETI,49,0.95,1.5,1.33,7.89,1.33,-0.123,-0.005,0.192,0.638,15.41,0.598,0.28,0.66,17,77,7.22,2.37,1,1,1
Services,ETI,8,0.51,0.8,0.54,7.18,1.29,0.11,-0.039,-0.032,0.545,19.57,-0.051,0.07,-0.08,107,30,14.4,3.57,3,4,1
Services,ETI,43,3.11,1.8,0.4,13.56,0.66,0.139,-0.146,0.142,0.438,13.91,0.433,0.17,-0.07,49,49,2.46,4.44,0,2,0
Agriculture,PME,20,1.55,1.5,1.4,13.99,0.88,0.131,-0.044,0.263,0.176,14.2,0.298,0.35,0.86,29,76,9.17,0.73,0,4,1
BTP,ETI,33,2.03,2.03,1.23,6.06,1.46,0.152,-0.088,0.357,0.784,19.69,0.291,0.29,0.04,35,23,10.31,1.85,1,0,1
Services,TPE,26,3.4,1.89,1.53,7.63,0.8,0.459,0.125,-0.043,0.331,16.95,-0.074,0.12,-0.41,76,76,15.27,3.06,0,2,1
Industrie,ETI,39,0.51,1.6,0.69,13.5,1.36,0.422,-0.075,0.001,0.13,17.19,0.386,0.37,0.4,97,53,6.13,3.28,1,4,1
Industrie,PME,21,2.37,1.32,0.95,12.2,0.12,0.401,0.088,0.079,0.42,15.63,0.5,0.3,-0.31,42,65,5.65,0.82,0,3,0
Commerce,ETI,49,0.54,0.51,0.87,0.55,0.29,0.341,0.116,0.356,0.705,19.75,-0.181,0.14,0.69,18,24,6.41,3.49,1,7,0
Services,PME,42,1.5,0.8,1.97,5.14,0.66,0.455,-0.016,0.341,0.715,16.89,0.225,0.27,0.46,27,66,11.34,2.88,0,4,1
BTP,PME,43,2.87,1.16,0.66,6.62,0.88,-0.221,-0.134,-0.146,0.058,18.95,-0.008,0.71,0.81,93,26,17.58,4.22,5,1,0
Agriculture,PME,41,1.69,1.58,0.66,3.83,1.22,-0.088,-0.133,-0.121,0.715,16.99,0.59,0.28,0.68,65,86,16.7,1.5,0,1,1
Agriculture,ETI,9,3.49,1.38,0.77,3.39,1.48,0.096,-0.138,0.097,0.254,17.35,0.079,0.59,-0.33,62,76,1.63,1.38,3,4,1
BTP,TPE,24,2.09,0.86,1.17,1.05,0.58,0.377,0.183,-0.136,0.079,12.9,-0.172,0.51,0.07,53,17,17.64,4.07,0,6,0
Transport,TPE,37,1.33,0.21,0.58,9.83,0.07,0.104,-0.007,0.007,0.686,13.03,-0.018,0.37,0.66,110,25,2.35,3.67,3,3,0
Tech,TPE,49,1.0,1.34,1.84,4.31,1.2,0.298,0.208,-0.111,0.698,17.83,0.254,0.23,0.13,81,22,8.6,4.06,5,3,1
Commerce,TPE,41,1.42,0.86,0.6,1.26,0.91,-0.189,0.044,0.182,0.497,12.97,-0.324,0.33,0.96,108,37,15.43,4.02,5,3,0
Agriculture,ETI,17,1.49,1.89,1.8,3.85,0.3,-0.098,0.054,0.37,0.481,15.63,0.204,0.49,0.6,72,24,2.09,0.97,5,4,1
Services,TPE,24,0.52,0.26,0.3,12.13,0.74,0.285,0.081,0.398,0.66,12.49,0.531,0.31,-0.48,98,32,1.29,1.75,5,7,1
Commerce,Grande Entreprise,21,1.48,1.55,1.35,12.85,1.11,-0.168,0.171,0.025,0.64,18.17,0.45,0.21,0.82,16,53,6.93,1.67,1,4,1
Services,PME,39,1.79,2.37,1.82,7.5,1.16,-0.019,-0.027,0.159,0.718,11.11,-0.332,0.14,-0.35,39,40,14.73,4.71,2,0,1
Transport,TPE,41,2.61,0.6,0.42,6.53,0.75,-0.088,-0.095,0.314,0.465,18.29,0.593,0.71,-0.29,25,25,10.67,2.69,0,1,0
Industrie,ETI,39,2.4,1.28,1.94,14.68,0.46,-0.02,0.1,-0.13,0.776,16.03,0.299,0.38,0.6,15,24,8.63,1.0,0,6,1
Commerce,PME,13,2.57,0.41,0.96,3.41,1.46,0.267,-0.003,0.214,0.797,11.87,-0.238,0.52,0.8,62,17,16.35,1.8,0,2,0
Agriculture,PME,11,0.33,1.64,1.9,3.62,1.0,-0.006,0.049,0.045,0.137,15.42,-0.388,0.42,0.3,62,76,15.45,4.42,1,2,1
Commerce,PME,46,1.0,1.47,1.39,4.73,0.61,0.144,0.141,-0.076,0.687,12.82,-0.229,0.7,-0.07,24,85,15.83,4.31,0,7,0
Commerce,ETI,19,2.42,1.14,0.67,3.0,0.42,-0.22,0.072,0.042,0.425,13.23,0.438,0.46,0.03,95,75,9.46,4.55,0,1,0
Commerce,TPE,11,1.85,1.4,0.46,6.0,1.1,0.344,0.129,-0.154,0.341,13.52,-0.378,0.41,0.01,44,18,0.88,2.25,0,5,0
Tech,Grande Entreprise,13,0.32,2.26,0.68,13.71,0.36,-0.004,0.095,0.217,0.51,10.63,-0.167,0.74,-0.01,49,75,3.86,3.39,2,0,0
Commerce,Grande Entreprise,46,2.87,0.65,0.28,9.42,0.26,0.219,0.183,-0.048,0.092,19.86,0.357,0.59,-0.14,33,22,14.96,1.75,0,1,0
Services,PME,45,2.77,0.25,0.37,6.47,0.79,0.28,0.168,-0.013,0.43,10.32,0.186,0.13,0.41,67,27,15.19,1.31,5,0,0
Industrie,TPE,1,2.05,2.18,0.3,14.05,0.43,-0.132,0.09,-0.127,0.703,16.62,0.383,0.18,0.85,48,26,19.46,0.6,2,5,1
Transport,PME,40,0.51,1.53,0.9,1.2,0.94,0.408,0.156,0.319,0.21,13.71,0.346,0.64,-0.04,46,49,4.21,1.51,2,0,1
BTP,TPE,44,2.75,2.25,1.61,3.55,0.18,0.193,0.243,0.096,0.37,16.46,-0.349,0.68,-0.22,90,68,2.9,3.22,2,3,0
Commerce,TPE,19,2.17,1.57,0.37,8.71,0.98,0.043,0.045,0.143,0.755,13.56,0.493,0.46,0.76,95,65,3.21,4.57,2,1,0
Agriculture,TPE,12,2.8,2.06,0.35,9.43,0.42,-0.154,0.036,0.142,0.371,16.74,-0.173,0.47,0.61,20,57,4.1,1.1,2,2,0
Commerce,PME,8,2.71,1.19,1.32,1.07,0.0,0.454,0.194,0.046,0.319,17.29,0.153,0.52,0.9,27,80,10.81,4.63,3,4,1
Agriculture,ETI,8,2.87,1.92,0.47,6.34,0.19,0.304,0.112,-0.084,0.38,16.91,0.244,0.38,-0.25,117,29,19.52,2.05,0,5,0
Services,ETI,45,1.96,2.3,0.29,9.91,1.4,-0.134,-0.118,0.247,0.44,11.14,-0.231,0.56,-0.28,100,63,11.99,2.42,3,5,1
Agriculture,ETI,12,0.75,1.52,0.42,10.62,1.3,-0.03,0.251,-0.124,0.524,16.57,0.576,0.13,0.31,89,48,10.69,2.14,2,4,1
BTP,PME,48,2.45,0.62,1.86,9.75,0.35,0.348,-0.136,-0.138,0.651,12.8,0.088,0.77,0.42,78,53,13.63,2.34,5,1,1
Industrie,PME,33,2.29,0.82,1.66,5.15,1.17,0.257,0.187,0.226,0.389,10.29,-0.342,0.61,0.22,21,40,1.94,1.67,0,6,0
Agriculture,PME,45,2.68,0.66,0.77,1.86,0.91,0.313,0.191,-0.075,0.663,14.15,0.537,0.52,0.4,59,83,16.4,3.64,0,4,0
